Datetime,Open,High,Low,Close,Volume,RSI_14,ATR_50,EMA_20,EMA_50,dist_ema20_pct,dist_ema50_pct,VWAP_20,dist_vwap_pct,MACD_line,MACD_signal,MACD_hist,RVOL_20,ER_Kaufman_10,Gap_pct,ADX_14,ROC_10,Momentum_10,Volatility_20,SMA_10,dist_bb_upper_pct,dist_bb_lower_pct,Candle_Body,Candle_Range,Upper_Wick,Lower_Wick,SMA,ATR,ER,RVOL,VWAP,ROC,Estructura_OK
2023-07-31 09:30:00-04:00,2.6500000953674316,2.6700000762939453,2.619999885559082,2.6540000438690186,2909,30.31770690547991,0.05057401657104492,2.6540000438690186,2.6540000438690186,0.0,0.0,2.5624466468446623,-2.0467414002936235,0.0,0.0,0.0,1.115495165926313,-0.2004723380028256,-0.0015071395762886889,100.0,-1.2810910982642976,-0.012810910982642976,0.18598227967915243,2.6266300439834596,-7.496006593636395,1.4374587739895335,0.003999948501586914,0.05000019073486328,0.016000032424926758,0.03000020980834961,2.6266300439834596,0.05057401657104492,-0.2004723380028256,1.115495165926313,2.5624466468446623,-1.2810910982642976,True
2023-07-31 10:30:00-04:00,2.6500000953674316,2.6500000953674316,2.5999999046325684,2.6298999786376953,4622,30.31770690547991,0.05057401657104492,2.6517047995612737,2.653054943271712,-0.8222944321398824,-0.8727661178950997,2.5624466468446623,-2.0467414002936235,-0.0019225123261454868,-0.0003845024652290974,-0.0015380098609163895,1.115495165926313,-0.2004723380028256,-0.0015071395762886889,100.0,-1.2810910982642976,-0.012810910982642976,0.18598227967915243,2.6266300439834596,-7.496006593636395,1.4374587739895335,0.020100116729736328,0.05000019073486328,0.0,0.029900074005126953,2.6266300439834596,0.05057401657104492,-0.2004723380028256,1.115495165926313,2.5624466468446623,-1.2810910982642976,True
2023-07-31 11:30:00-04:00,2.630000114440918,2.6500000953674316,2.630000114440918,2.6500000953674316,1034,30.31770690547991,0.05057401657104492,2.651542446780908,2.652935145314681,-0.058168083084950604,-0.11063406327263281,2.5624466468446623,-2.0467414002936235,-0.0018034170895440127,-0.0006682853900920804,-0.0011351316994519323,1.115495165926313,-0.2004723380028256,3.807589795659348e-05,100.0,-1.2810910982642976,-0.012810910982642976,0.18598227967915243,2.6266300439834596,-7.496006593636395,1.4374587739895335,0.019999980926513672,0.019999980926513672,0.0,0.0,2.6266300439834596,0.05057401657104492,-0.2004723380028256,1.115495165926313,2.5624466468446623,-1.2810910982642976,True
2023-07-31 12:30:00-04:00,2.6500000953674316,2.6700000762939453,2.640000104904175,2.6401000022888184,3534,30.31770690547991,0.05057401657104492,2.6504526901626138,2.6524318063724905,-0.3906007419872198,-0.46492445362949253,2.5624466468446623,-2.0467414002936235,-0.0024793081088536617,-0.0010304899338443967,-0.001448818175009265,1.115495165926313,-0.2004723380028256,0.0,88.56175972927242,-1.2810910982642976,-0.012810910982642976,0.18598227967915243,2.6266300439834596,-7.496006593636395,1.4374587739895335,0.009900093078613281,0.029999971389770508,0.019999980926513672,9.989738464355469e-05,2.6266300439834596,0.05057401657104492,-0.2004723380028256,1.115495165926313,2.5624466468446623,-1.2810910982642976,True
2023-07-31 14:30:00-04:00,2.640000104904175,2.6401000022888184,2.5999999046325684,2.6040000915527344,6666,30.31770690547991,0.05057401657104492,2.646028633152149,2.6505325234383825,-1.588363068820886,-1.75558803652348,2.5624466468446623,-2.0467414002936235,-0.005860363090291809,-0.0019964645651338792,-0.00386389852515793,1.115495165926313,-0.2004723380028256,-3.783848511683242e-05,83.51679983485855,-1.2810910982642976,-0.012810910982642976,0.18598227967915243,2.6266300439834596,-7.496006593636395,1.4374587739895335,0.03600001335144043,0.04010009765625,9.989738464355469e-05,0.004000186920166016,2.6266300439834596,0.05057401657104492,-0.2004723380028256,1.115495165926313,2.5624466468446623,-1.2810910982642976,True
2023-07-31 15:30:00-04:00,2.640000104904175,2.6500000953674316,2.619999885559082,2.630000114440918,2279,30.31770690547991,0.05057401657104492,2.6445021075606037,2.649727330928678,-0.5483827401091741,-0.7444998682504514,2.5624466468446623,-2.0467414002936235,-0.006368477126375449,-0.0028708670773821936,-0.0034976100489932556,1.115495165926313,-0.2004723380028256,0.013824889433845623,76.33723013466455,-1.2810910982642976,-0.012810910982642976,0.18598227967915243,2.6266300439834596,-7.496006593636395,1.4374587739895335,0.009999990463256836,0.03000020980834961,0.009999990463256836,0.010000228881835938,2.6266300439834596,0.05057401657104492,-0.2004723380028256,1.115495165926313,2.5624466468446623,-1.2810910982642976,True
2023-08-01 09:30:00-04:00,2.609999895095825,2.6219000816345215,2.609999895095825,2.615000009536743,2276,30.31770690547991,0.05057401657104492,2.641692383939284,2.648365475187818,-1.0104270491455594,-1.2598512540535467,2.5624466468446623,-2.0467414002936235,-0.007890586495988838,-0.0038748109611035225,-0.004015775534885316,1.115495165926313,-0.2004723380028256,-0.0076046458079125955,71.42786713460796,-1.2810910982642976,-0.012810910982642976,0.18598227967915243,2.6266300439834596,-7.496006593636395,1.4374587739895335,0.005000114440917969,0.011900186538696289,0.00690007209777832,0.0,2.6266300439834596,0.05057401657104492,-0.2004723380028256,1.115495165926313,2.5624466468446623,-1.2810910982642976,True
2023-08-01 10:30:00-04:00,2.603300094604492,2.603300094604492,2.603300094604492,2.603300094604492,191,30.31770690547991,0.05057401657104492,2.6380359754312086,2.646598205361021,-1.3167326431565647,-1.6359910873068328,2.5624466468446623,-2.0467414002936235,-0.009926527660554907,-0.005085154300993799,-0.004841373359561108,1.115495165926313,-0.2004723380028256,-0.004474154833492203,67.96069812736948,-1.2810910982642976,-0.012810910982642976,0.18598227967915243,2.6266300439834596,-7.496006593636395,1.4374587739895335,0.0,0.0,0.0,0.0,2.6266300439834596,0.05057401657104492,-0.2004723380028256,1.115495165926313,2.5624466468446623,-1.2810910982642976,True
2023-08-01 11:30:00-04:00,2.615000009536743,2.615000009536743,2.615000009536743,2.615000009536743,642,30.31770690547991,0.05057401657104492,2.63584207391745,2.6453590604267356,-0.79071749354585,-1.1476344116815318,2.5624466468446623,-2.0467414002936235,-0.010475188889929488,-0.006163161218780936,-0.004312027671148551,1.115495165926313,-0.2004723380028256,0.004494262861396505,61.767472984508146,-1.2810910982642976,-0.012810910982642976,0.18598227967915243,2.6266300439834596,-7.496006593636395,1.4374587739895335,0.0,0.0,0.0,0.0,2.6266300439834596,0.05057401657104492,-0.2004723380028256,1.115495165926313,2.5624466468446623,-1.2810910982642976,True
2023-08-01 12:30:00-04:00,2.5999999046325684,2.6500000953674316,2.5999999046325684,2.625,1126,30.31770690547991,0.05057401657104492,2.6348094954491215,2.644560665900197,-0.3723037838623459,-0.7396565392663677,2.5624466468446623,-2.0467414002936235,-0.009987956267556442,-0.006928120228536038,-0.003059836039020404,1.115495165926313,-0.2004723380028256,-0.005736177762703767,56.52974163003025,-1.2810910982642976,-0.012810910982642976,0.18598227967915243,2.6266300439834596,-7.496006593636395,1.4374587739895335,0.02500009536743164,0.05000019073486328,0.02500009536743164,0.0,2.6266300439834596,0.05057401657104492,-0.2004723380028256,1.115495165926313,2.5624466468446623,-1.2810910982642976,True
2023-08-01 13:30:00-04:00,2.619999885559082,2.640000104904175,2.5899999141693115,2.619999885559082,3558,30.31770690547991,0.05057401657104492,2.633399056411975,2.643597498043683,-0.508816573783897,-0.8926325774655041,2.5624466468446623,-2.0467414002936235,-0.009891267971610329,-0.007520749777150896,-0.002370518194459433,1.115495165926313,-0.2004723380028256,-0.0019048055013020833,50.24887820429886,-1.2810910982642976,-0.012810910982642976,0.18598227967915243,2.6232300281524656,-7.496006593636395,1.4374587739895335,0.0,0.05000019073486328,0.020000219345092773,0.029999971389770508,2.6232300281524656,0.05057401657104492,-0.2004723380028256,1.115495165926313,2.5624466468446623,-1.2810910982642976,True
2023-08-01 14:30:00-04:00,2.600100040435791,2.640000104904175,2.600100040435791,2.640000104904175,382,30.31770690547991,0.05057401657104492,2.6340277276969464,2.643456423802918,0.22673934463288123,-0.13074998579969027,2.5624466468446623,-2.0467414002936235,-0.008107334937609512,-0.007638066809242619,-0.00046926812836689275,1.115495165926313,0.06102780486891332,-0.007595361065843935,44.80546323533166,0.38404982503217333,0.0038404982503217333,0.18598227967915243,2.6242400407791138,-7.496006593636395,1.4374587739895335,0.03990006446838379,0.03990006446838379,0.0,0.0,2.6242400407791138,0.05057401657104492,0.06102780486891332,1.115495165926313,2.5624466468446623,0.38404982503217333,True
2023-08-01 15:30:00-04:00,2.619999885559082,2.640000104904175,2.619999885559082,2.640000104904175,1060,30.31770690547991,0.05057401657104492,2.6345965255262063,2.6433208818853204,0.20510083140299,-0.12562897693968678,2.5624466468446623,-2.0467414002936235,-0.006617275324787286,-0.007433908512351553,0.0008166331875642668,1.115495165926313,-0.06877559018320809,-0.007575840359983141,40.08783692889342,-0.3773581171086837,-0.003773581171086837,0.18598227967915243,2.623240041732788,-7.496006593636395,1.4374587739895335,0.020000219345092773,0.020000219345092773,0.0,0.0,2.623240041732788,0.05057401657104492,-0.06877559018320809,1.115495165926313,2.5624466468446623,-0.3773581171086837,True
2023-08-02 09:30:00-04:00,2.5899999141693115,2.5899999141693115,2.4700000286102295,2.5399999618530273,21652,30.31770690547991,0.05057401657104492,2.6255873289859033,2.6392690810997403,-3.259741779982343,-3.761235258564435,2.5624466468446623,-2.0467414002936235,-0.013351658545889489,-0.008617458519059141,-0.004734200026830348,1.115495165926313,-0.4250526443670527,-0.018939465434861472,43.8559946270251,-3.7915245766830807,-0.03791524576683081,0.18598227967915243,2.613230037689209,-7.496006593636395,1.4374587739895335,0.04999995231628418,0.11999988555908203,0.0,0.06999993324279785,2.613230037689209,0.05057401657104492,-0.4250526443670527,1.115495165926313,2.5624466468446623,-3.7915245766830807,True
2023-08-02 10:30:00-04:00,2.490000009536743,2.490000009536743,2.490000009536743,2.490000009536743,1266,25.853980797367015,0.05057401657104492,2.6126742509431264,2.6334153920188386,-4.69535156792318,-5.445984059968214,2.5624466468446623,-2.0467414002936235,-0.022464329248098824,-0.011386832664867078,-0.011077496583231747,1.115495165926313,-0.457096670270663,-0.01968502089260163,47.12173129873922,-4.377883180027631,-0.04377883180027631,0.18598227967915243,2.6018300294876098,-7.496006593636395,1.4374587739895335,0.0,0.0,0.0,0.0,2.6018300294876098,0.05057401657104492,-0.457096670270663,1.115495165926313,2.5624466468446623,-4.377883180027631,True
2023-08-02 11:30:00-04:00,2.490000009536743,2.509999990463257,2.4800000190734863,2.509999990463257,11370,32.13117480143066,0.05057401657104492,2.6028957499450436,2.6285755723499924,-3.568938920575213,-4.511020460436179,2.5624466468446623,-2.0467414002936235,-0.02775244224004414,-0.01465995457990249,-0.01309248766014165,1.115495165926313,-0.4930154423324632,0.0,47.43728056608364,-4.56274215802347,-0.045627421580234695,0.18598227967915243,2.589830017089844,-7.496006593636395,1.4374587739895335,0.019999980926513672,0.029999971389770508,0.0,0.009999990463256836,2.589830017089844,0.05057401657104492,-0.4930154423324632,1.115495165926313,2.5624466468446623,-4.56274215802347,True
2023-08-02 12:30:00-04:00,2.5000998973846436,2.5399999618530273,2.5000998973846436,2.5299999713897705,4253,32.110912152724225,0.05057401657104492,2.5959532948445414,2.624709862508415,-2.540620572248027,-3.608394682836718,2.5624466468446623,-2.0467414002936235,-0.029983843487572326,-0.017724732361436457,-0.012259111126135869,1.115495165926313,-0.3421898785448417,-0.003944260205668796,44.47360883567549,-3.2504794583932184,-0.032504794583932184,0.18598227967915243,2.5813300132751467,-7.496006593636395,1.4374587739895335,0.029900074005126953,0.03990006446838379,0.009999990463256836,0.0,2.5813300132751467,0.05057401657104492,-0.3421898785448417,1.115495165926313,2.5624466468446623,-3.2504794583932184,True
2023-08-02 13:30:00-04:00,2.509999990463257,2.509999990463257,2.5,2.509999990463257,2384,31.17222504766643,0.05057401657104492,2.5877672658558475,2.620211436153703,-3.0051881565505014,-4.206204284499631,2.5624466468446623,-2.0467414002936235,-0.032985836180058126,-0.020776953125160792,-0.012208883054897333,1.115495165926313,-0.3634593040265483,-0.007905130890387859,41.91131219143565,-3.5839165962697095,-0.035839165962697095,0.18598227967915243,2.572000002861023,-7.496006593636395,1.4374587739895335,0.0,0.009999990463256836,0.0,0.009999990463256836,2.572000002861023,0.05057401657104492,-0.3634593040265483,1.115495165926313,2.5624466468446623,-3.5839165962697095,True
2023-08-02 14:30:00-04:00,2.5199999809265137,2.5299999713897705,2.511899948120117,2.511899948120117,1067,35.207185790173455,0.05057401657104492,2.5805418070238733,2.615963926819053,-2.659978564072186,-3.9780356920087545,2.5624466468446623,-2.0467414002936235,-0.03481035421800982,-0.0235836333437306,-0.011226720874279221,1.115495165926313,-0.41757767423894937,0.003984059960658085,37.58765625463296,-3.9426409575765375,-0.039426409575765375,0.18598227967915243,2.5616899967193603,-7.496006593636395,1.4374587739895335,0.008100032806396484,0.01810002326965332,0.009999990463256836,0.0,2.5616899967193603,0.05057401657104492,-0.41757767423894937,1.115495165926313,2.5624466468446623,-3.9426409575765375,True
2023-08-02 15:30:00-04:00,2.5000998973846436,2.5399999618530273,2.5,2.509999990463257,4269,29.10862896966225,0.05057401657104492,2.573823538780005,2.611808478334512,-2.4797173293006955,-3.8980074042862403,2.5624466468446623,-2.0467414002936235,-0.03599468429765906,-0.026065843534516294,-0.009928840763142769,1.115495165926313,-0.48157400002595846,-0.00469765953230131,34.800813971593115,-4.3809527442568825,-0.04380952744256883,0.18598227967915243,2.550189995765686,-7.496006593636395,1.4374587739895335,0.009900093078613281,0.039999961853027344,0.029999971389770508,9.989738464355469e-05,2.550189995765686,0.05057401657104492,-0.48157400002595846,1.115495165926313,2.5624466468446623,-4.3809527442568825,True
2023-08-03 09:30:00-04:00,2.5199999809265137,2.5199999809265137,2.4700000286102295,2.4702999591827393,6235,26.80346490302736,0.05057401657104492,2.563964150246932,2.6062591246422855,-3.653100651004508,-5.216640362964942,2.553422287902203,-3.25533027236767,-0.0396793364645176,-0.028788542120516555,-0.010890794344001045,1.5613652868554828,-0.5473484997075343,0.003984059960658085,34.47346240435504,-5.713737897526594,-0.05713737897526594,0.18598227967915243,2.535220003128052,-8.97851808764352,0.5321781369215016,0.049700021743774414,0.04999995231628418,0.0,0.0002999305725097656,2.535220003128052,0.05057401657104492,-0.5473484997075343,1.5613652868554828,2.553422287902203,-5.713737897526594,True
2023-08-03 10:30:00-04:00,2.470099925994873,2.5299999713897705,2.470099925994873,2.5299999713897705,2703,39.816605289987415,0.05057401657104492,2.5607294665462503,2.603268569612775,-1.2000289588546744,-2.8144848010784753,2.547576496768427,-0.6899312111315301,-0.03735159190107362,-0.03050115207662797,-0.0068504398244456505,0.6935481801737078,-0.3512137119611222,-8.097526258810644e-05,33.00010637391186,-4.166671558461809,-0.0416667155846181,0.20882546471727434,2.5242199897766113,-6.461246661934818,3.0248758927657815,0.05990004539489746,0.05990004539489746,0.0,0.0,2.5242199897766113,0.05057401657104492,-0.3512137119611222,0.6935481801737078,2.547576496768427,-4.166671558461809,True
2023-08-03 11:30:00-04:00,2.494999885559082,2.509999990463257,2.494999885559082,2.509999990463257,221,35.74145397657516,0.05057401657104492,2.5558980878716793,2.5996109782735783,-1.7957718121164299,-3.4470922210765877,2.546170863846325,-1.420598825344639,-0.03669764131244424,-0.03174044992379123,-0.004957191388653012,0.05730287551533695,-0.3901564317923898,-0.013834026176475549,31.723197814194442,-4.924246563453705,-0.04924246563453705,0.20673221890490365,2.5112199783325195,-6.897266475600189,2.438763003317318,0.015000104904174805,0.015000104904174805,0.0,0.0,2.5112199783325195,0.05057401657104492,-0.3901564317923898,0.05730287551533695,2.546170863846325,-4.924246563453705,True
2023-08-03 12:30:00-04:00,2.509999990463257,2.5299999713897705,2.5,2.5299999713897705,2471,37.440513601889194,0.05057401657104492,2.5534316005876883,2.5968811348663703,-0.9176525109395847,-2.5754418474776024,2.540495659957727,-0.413135465389113,-0.0341716400501495,-0.03222668794906288,-0.001944952101086618,0.6496562421947917,-0.039494461848762284,0.0,28.11199219152155,-0.3937004178520276,-0.003937004178520276,0.21004887637711755,2.5102199792861937,-5.758474301154672,3.281624756975111,0.019999980926513672,0.029999971389770508,0.0,0.009999990463256836,2.5102199792861937,0.05057401657104492,-0.039494461848762284,0.6496562421947917,2.540495659957727,-0.3937004178520276,True
