Datetime,Open,High,Low,Close,Volume,RSI_14,ATR_50,EMA_20,EMA_50,dist_ema20_pct,dist_ema50_pct,VWAP_20,dist_vwap_pct,MACD_line,MACD_signal,MACD_hist,RVOL_20,ER_Kaufman_10,Gap_pct,ADX_14,ROC_10,Momentum_10,Volatility_20,SMA_10,dist_bb_upper_pct,dist_bb_lower_pct,Candle_Body,Candle_Range,Upper_Wick,Lower_Wick
2023-08-17 09:30:00-04:00,8.65999984741211,8.739100456237793,7.980000019073486,8.153800010681152,158103,15.616244351081832,0.23555197715759277,8.999382779320708,9.313112976502044,-9.396008474965459,-12.448178914461353,9.084395325429277,-10.243888353726504,-0.2830213853407475,-0.20273115891641494,-0.08029022642433256,2.914601581892575,-0.889716552191158,0.006976681776859293,38.250388674921446,-11.178652073857187,-0.11178652073857187,0.2887534330552259,8.795530033111572,-20.171379767568432,-1.3278309554910872,0.506199836730957,0.7591004371643066,0.0791006088256836,0.17379999160766602
2023-08-17 10:30:00-04:00,8.125,8.520000457763672,8.109999656677246,8.489999771118164,50326,25.472491139636958,0.23575398445129395,8.950870111872847,9.280834027271304,-5.148888711314929,-8.52115503659811,9.045972091625902,-6.146076009038505,-0.28784801604614607,-0.21975453034236117,-0.0680934857037849,0.8997212841310733,-0.4558691347753204,-0.0035320967700244645,43.414603522945825,-7.313398198472831,-0.07313398198472831,0.33533768268038994,8.7285400390625,-16.30512255604824,3.2195661999758975,0.36499977111816406,0.4100008010864258,0.030000686645507812,0.015000343322753906
2023-08-17 11:30:00-04:00,8.495400428771973,8.54990005493164,8.400199890136719,8.54990005493164,25654,31.507024910773012,0.23494799613952635,8.912682487402256,9.252169949924651,-4.070406782507898,-7.590326364451723,9.004499679254778,-5.048582825434232,-0.2835708748296888,-0.2325177992398267,-0.05105307558986208,0.46665569181151506,-0.34548276367744424,0.0006361198821442733,47.08760658399,-5.371215442869792,-0.05371215442869792,0.3004454196236821,8.680010032653808,-14.460938925523944,4.0718073822146215,0.05449962615966797,0.14970016479492188,0.0,0.0952005386352539
2023-08-17 12:30:00-04:00,8.524999618530273,8.524999618530273,8.38640022277832,8.430000305175781,22922,25.7939835389317,0.23489998817443847,8.866712755761638,9.219928003071756,-4.925302788252371,-8.567612432904012,8.974820233744023,-6.0705386222645155,-0.2865529137451279,-0.24332482214088696,-0.04322809160424096,0.4187255559229334,-0.40026271486658915,-0.0029123657868964734,50.339759637649905,-6.735406450542836,-0.06735406450542836,0.2987192244791496,8.619130039215088,-14.935109246790615,3.202149492911397,0.09499931335449219,0.13859939575195312,0.0,0.04360008239746094
2023-08-17 13:30:00-04:00,8.40999984741211,8.520000457763672,8.335700035095215,8.354999542236328,21451,26.352905029582246,0.2367859935760498,8.817978163997322,9.186009239901738,-5.250394287108544,-9.046471388856332,8.936948514357944,-6.511718974174091,-0.29160667559432873,-0.25298119283157533,-0.038625482762753405,0.3989614466839387,-0.39072913488444383,-0.002372533456658615,53.42499658669182,-6.543624894911804,-0.06543624894911804,0.2988039216754863,8.56063003540039,-14.908493443292986,2.8383482176207364,0.05500030517578125,0.18430042266845703,0.1100006103515625,0.01929950714111328
2023-08-17 14:30:00-04:00,8.329999923706055,8.420000076293945,8.220000267028809,8.3100004196167,66969,25.982053053880733,0.23758599281311035,8.769599331199167,9.151655952831737,-5.240819953397137,-9.196756713243898,8.838187875002156,-5.976196284301408,-0.29583269621969244,-0.26155149350919876,-0.034281202710493675,1.2770205333170612,-0.3253952189352451,-0.002992174733690285,56.65008825824097,-5.028566632952014,-0.05028566632952014,0.2983250027899883,8.516630077362061,-14.386008304286788,2.6801713516653,0.01999950408935547,0.19999980926513672,0.09000015258789062,0.09000015258789062
2023-08-17 15:30:00-04:00,8.319999694824219,8.319999694824219,8.210000038146973,8.210000038146973,31845,26.349894251883327,0.2356859874725342,8.71630416043229,9.114728269902923,-5.8087018645320825,-9.926003331809538,8.726151207907035,-5.914992273940454,-0.30374960667054296,-0.26999111614146765,-0.03375849052907531,0.6605907666649035,-0.4309726899333346,0.001203282154344434,59.49086110234082,-6.8104466843581735,-0.06810446684358173,0.2875299780557944,8.456630039215089,-15.081079797405463,2.2971423655361956,0.1099996566772461,0.1099996566772461,0.0,0.0
2023-08-18 09:30:00-04:00,8.130000114440918,8.420000076293945,8.079999923706055,8.260000228881836,49332,28.257972173603747,0.2408859920501709,8.67284664314177,9.081209523196215,-4.760218083487058,-9.04295063577992,8.667580854089262,-4.702357348245962,-0.3025021611056591,-0.27649332513430597,-0.026008835971353117,1.029040588404624,-0.374859675194851,-0.009744205034633711,62.501729333908344,-6.082999917807264,-0.060829999178072636,0.2834789347526465,8.403130054473877,-13.5146264295953,3.146518861238333,0.13000011444091797,0.3400001525878906,0.15999984741210938,0.05000019073486328
2023-08-18 10:30:00-04:00,8.300000190734863,8.449899673461914,8.25,8.289999961853027,13117,31.128804147391435,0.23888398170471192,8.636385054447604,9.050181697261188,-4.010764809706974,-8.399629541561696,8.654728822559004,-4.214214774185556,-0.29568435854737096,-0.280331531816919,-0.015352826730451963,0.27350616259406535,-0.2866346250711791,0.004842610259641867,63.96489534017641,-4.411593291312399,-0.04411593291312399,0.27635803904900885,8.364870071411133,-12.543229278371943,3.8623252651359454,0.010000228881835938,0.19989967346191406,0.14989948272705078,0.039999961853027344
2023-08-18 11:30:00-04:00,8.279999732971191,8.350000381469727,8.210000038146973,8.305000305175781,27464,35.619203652954525,0.23478400230407714,8.604824602136002,9.020958897571564,-3.4843742995736906,-7.936612953513382,8.620544444247495,-3.6603736702764342,-0.285776544442653,-0.2814205343420658,-0.004356010100587171,0.578381861756121,-0.2309739389893686,-0.001206300232551585,65.4732278376384,-3.4302332931237633,-0.034302332931237633,0.2718135965668398,8.335370063781738,-11.314786345293093,4.078661497669951,0.025000572204589844,0.1400003433227539,0.04500007629394531,0.06999969482421875
