Datetime,Open,High,Low,Close,Volume,RSI_14,ATR_50,EMA_20,EMA_50,dist_ema20_pct,dist_ema50_pct,VWAP_20,dist_vwap_pct,MACD_line,MACD_signal,MACD_hist,RVOL_20,ER_Kaufman_10,Gap_pct,ADX_14,ROC_10,Momentum_10,Volatility_20,SMA_10,dist_bb_upper_pct,dist_bb_lower_pct,Candle_Body,Candle_Range,Upper_Wick,Lower_Wick,label,entry_idx
2023-07-31 09:30:00-04:00,8.949999809265137,9.489999771118164,8.949999809265137,9.399999618530272,8076,25.359765989965094,0.2281720542907714,9.399999618530272,9.399999618530272,0.0,0.0,9.127765179408748,-3.8099736310272014,0.0,0.0,0.0,0.0,-0.3834166341005231,0.0,100.0,-3.404252210749048,-0.0340425221074904,0.226586859925064,9.322970008850096,-9.779113302105843,3.469392420061085,0.4499998092651367,0.5399999618530273,0.0900001525878906,0.0,0,0
2023-07-31 10:30:00-04:00,9.399999618530272,9.489999771118164,9.229999542236328,9.350000381469728,6600,25.359765989965094,0.2281720542907714,9.395237786429268,9.398038864135742,-0.4814929221364015,-0.5111543308182873,9.127765179408748,-3.8099736310272014,-0.0039885431273365,-0.0007977086254673,-0.0031908345018692,0.0,-0.3834166341005231,0.0,100.0,-3.404252210749048,-0.0340425221074904,0.226586859925064,9.322970008850096,-9.779113302105843,3.469392420061085,0.0499992370605468,0.2600002288818359,0.0900001525878906,0.1200008392333984,0,1
2023-07-31 11:30:00-04:00,9.350000381469728,9.489999771118164,9.350000381469728,9.375,2852,25.359765989965094,0.2281720542907714,9.393310378197908,9.397135379267674,-0.1949299816644722,-0.2355545426802051,9.127765179408748,-3.8099736310272014,-0.0050737450323534,-0.0016529159068445,-0.0034208291255089,0.0,-0.3834166341005231,0.0,100.0,-3.404252210749048,-0.0340425221074904,0.226586859925064,9.322970008850096,-9.779113302105843,3.469392420061085,0.0249996185302734,0.1399993896484375,0.114999771118164,0.0,0,2
2023-07-31 12:30:00-04:00,9.489999771118164,9.489999771118164,9.34000015258789,9.43000030517578,3337,25.359765989965094,0.2281720542907714,9.396804656957707,9.398424199891522,0.3532652793148659,0.3359723354966609,9.127765179408748,-3.8099736310272014,-0.0014786652569345,-0.0016180657768625,0.000139400519928,0.0,-0.3834166341005231,0.0122666422526041,100.0,-3.404252210749048,-0.0340425221074904,0.226586859925064,9.322970008850096,-9.779113302105843,3.469392420061085,0.0599994659423828,0.1499996185302734,0.0,0.0900001525878906,0,3
2023-07-31 13:30:00-04:00,9.257699966430664,9.257699966430664,9.257699966430664,9.257699966430664,265,25.359765989965094,0.2281720542907714,9.383556591193226,9.3929056025009,-1.3412465043444493,-1.43944421238768,9.127765179408748,-3.8099736310272014,-0.0123899127942443,-0.0037724351803389,-0.0086174776139054,0.0,-0.3834166341005231,-0.018271509349851,100.0,-3.404252210749048,-0.0340425221074904,0.226586859925064,9.322970008850096,-9.779113302105843,3.469392420061085,0.0,0.0,0.0,0.0,0,4
2023-07-31 14:30:00-04:00,9.420000076293944,9.420000076293944,9.420000076293944,9.420000076293944,357,25.359765989965094,0.2281720542907714,9.387027399298056,9.393968130884945,0.3512579179043965,0.2771134098636764,9.127765179408748,-3.8099736310272014,-0.0078503981088058,-0.0045880277660322,-0.0032623703427735,0.0,-0.3834166341005231,0.0175313642105271,91.2815578564285,-3.404252210749048,-0.0340425221074904,0.226586859925064,9.322970008850096,-9.779113302105843,3.469392420061085,0.0,0.0,0.0,0.0,0,5
2023-07-31 15:30:00-04:00,9.399999618530272,9.505000114440918,9.399999618530272,9.4350004196167,1465,25.359765989965094,0.2281720542907714,9.39159625837602,9.395577240246972,0.4621595737994782,0.4195929463583549,9.127765179408748,-3.8099736310272014,-0.0030077264735695,-0.0042719675075397,0.0012642410339702,0.0,-0.3834166341005231,-0.0021231908282043,86.24632961233884,-3.404252210749048,-0.0340425221074904,0.226586859925064,9.322970008850096,-9.779113302105843,3.469392420061085,0.0350008010864257,0.1050004959106445,0.0699996948242187,0.0,0,6
2023-08-01 09:30:00-04:00,9.239999771118164,9.369999885559082,9.229999542236328,9.279999732971191,5609,25.359765989965094,0.2281720542907714,9.380968017861276,9.391044788981254,-1.0763098722630984,-1.1824568885067506,9.127765179408748,-3.8099736310272014,-0.0115440615746802,-0.0057263863209678,-0.0058176752537124,0.0,-0.3834166341005231,-0.0206677943641741,75.8028473327804,-3.404252210749048,-0.0340425221074904,0.226586859925064,9.322970008850096,-9.779113302105843,3.469392420061085,0.0399999618530273,0.1400003433227539,0.0900001525878906,0.0100002288818359,0,7
2023-08-01 10:30:00-04:00,9.1274995803833,9.199999809265137,9.1274995803833,9.199999809265137,1930,25.359765989965094,0.2281720542907714,9.36373295037593,9.383552828992386,-1.748588324533748,-1.956114310563956,9.127765179408748,-3.8099736310272014,-0.0244822774444148,-0.0094775645456572,-0.0150047128987576,0.0,-0.3834166341005231,-0.0164332065706929,69.42562857314225,-3.404252210749048,-0.0340425221074904,0.226586859925064,9.322970008850096,-9.779113302105843,3.469392420061085,0.0725002288818359,0.0725002288818359,0.0,0.0,0,8
2023-08-01 12:30:00-04:00,9.14150047302246,9.14150047302246,9.08199977874756,9.08199977874756,983,25.359765989965094,0.2281720542907714,9.336901219744655,9.371727219178863,-2.7300432445194907,-3.091505265308931,9.127765179408748,-3.8099736310272014,-0.0437531637945323,-0.0163326843954322,-0.0274204793991,0.0,-0.3834166341005231,-0.0063586236364659,64.8624487174948,-3.404252210749048,-0.0340425221074904,0.226586859925064,9.322970008850096,-9.779113302105843,3.469392420061085,0.0595006942749023,0.0595006942749023,0.0,0.0,0,9
2023-08-01 13:30:00-04:00,9.071800231933594,9.210000038146973,9.029999732971191,9.079999923706056,7222,25.359765989965094,0.2281720542907714,9.31243442964574,9.36028693308189,-2.4959585777027407,-2.994427536032272,9.127765179408748,-3.8099736310272014,-0.0585123576186532,-0.0247686190400764,-0.0337437385785767,0.0,-0.3834166341005231,-0.0011230507666199,58.23166383217369,-3.404252210749048,-0.0340425221074904,0.226586859925064,9.290970039367677,-9.779113302105843,3.469392420061085,0.0081996917724609,0.1800003051757812,0.1300001144409179,0.0418004989624023,0,10
2023-08-01 14:30:00-04:00,9.0,9.101699829101562,8.899999618530273,8.970000267028809,6432,25.359765989965094,0.2281720542907714,9.279821652253652,9.344981573628829,-3.338656677195965,-4.012648967208249,9.127765179408748,-3.8099736310272014,-0.0781839224566063,-0.0354516797233824,-0.0427322427332238,0.0,-0.4247705629828464,-0.0088105643588378,55.260989948604575,-4.06417218114793,-0.0406417218114792,0.226586859925064,9.252970027923585,-9.779113302105843,3.469392420061085,0.0299997329711914,0.201700210571289,0.1016998291015625,0.0700006484985351,0,11
2023-08-01 15:30:00-04:00,9.114999771118164,9.114999771118164,8.959799766540527,8.959799766540527,341,25.359765989965094,0.2281720542907714,9.24934337742383,9.329876404723404,-3.130423415677624,-3.966575998750841,9.127765179408748,-3.8099736310272014,-0.0935188473975809,-0.0470651132582221,-0.0464537341393588,0.0,-0.471924764156312,0.0161649386591807,52.17623665825572,-4.428802490234373,-0.0442880249023437,0.226586859925064,9.211450004577635,-9.779113302105843,3.469392420061085,0.1552000045776367,0.1552000045776367,0.0,0.0,0,12
2023-08-02 09:30:00-04:00,8.890000343322754,9.135700225830078,8.778599739074707,8.899999618530273,5178,25.359765989965094,0.2281720542907714,9.216072543243492,9.31301849153936,-3.429583732442929,-4.434855072867122,9.127765179408748,-3.8099736310272014,-0.1092380300570248,-0.0594996966179826,-0.0497383334390421,0.0,-0.5991405518924676,-0.0077902882917576,52.27864876367781,-5.620367651044611,-0.0562036765104461,0.226586859925064,9.158449935913088,-9.779113302105843,3.469392420061085,0.0099992752075195,0.3571004867553711,0.2357006072998047,0.1114006042480468,0,13
