ticker,csl,bp_median,bp_max,n_samples
MCRB,2.065066839439678,1644.2977616456033,2961.8976426737277,500
ABSI,2.2425384326856324,1533.8783846445185,2783.6872110501704,500
IMUX,2.3545574373522173,1578.386796485576,2799.9168295078234,500
KPTI,2.3630274780743266,1349.1106020192224,2564.2849170280465,500
HBIO,2.3957200746643044,1475.4069828934262,2669.668439110791,500
HOTH,2.4549129062386403,1455.0827559932084,2658.156115672316,500
SGMO,2.529847201471929,926.5971988176645,1721.8464407043168,500
EBON,2.7467948414830654,1169.453661317455,1950.1081463534094,500
BEEM,2.758529571116587,1534.1668520734124,2693.7040720782534,500
