ticker,strategy_id,strategy_name,conditions,csl,n_trades,trade_pnls,cumulative_pnls,total_pnl,return_pct,win_rate,profit_factor,max_drawdown_pct,sharpe,corr_trade_vs_pnl
HBIO,6,Rule 6,"[('EMA_50', 1.381, '>'), ('VWAP_20', 15.089, '<='), ('SMA_10', 4.092, '>'), ('SMA_10', 9.943, '<=')]",2.4120646001571644,125,"[-99.6209411930794, -99.94392187305733, -58.163907051086426, -99.83918788863312, -99.77492502358709, -99.73740563403447, 19.319961547851562, -99.98565734255116, 149.37064414046267, -99.68004592647254, -99.77846807471536, -99.70474940558069, -99.55018722759829, -68.53002643585205, -99.61980368283247, 149.5417277116502, -99.59462705006852, -99.25505838825492, 82.53202438354492, -99.36572621961122, 46.580020904541016, -99.94051063049771, -33.85809516906738, -99.96005487379745, -99.9470923637009, -99.9667602034122, 149.86736310936206, -99.88002634676027, 149.7970015044047, 149.79327896474092, -99.91623759952893, -99.64937177224382, -99.73565345419583, 149.66241893480424, 149.86732894954983, -99.7500396578556, 149.88905631539728, -99.6581146599001, -99.70586662696948, 149.58587003896076, 149.7523472284732, -99.94439320945699, -99.84900373944323, -99.85386920086627, 149.97155053678992, -87.49983310699463, -43.839874267578125, -25.1680850982666, -99.93495751020083, -99.87416891659352, -99.88607631405085, 149.90229936726564, 149.71889214348056, 149.52871039058203, -99.53601966974027, -99.35597629608843, 149.7784943909608, -0.4080190658569336, 149.08937825006544, -99.9507799441897, -99.61758315701545, 149.81083362325757, 149.22220350435373, -99.7108045025939, -99.68215451852089, 149.2516610976991, -99.44100777491767, -99.85947867910279, 101.9520378112793, -99.78892769421654, -99.80685655794947, 21.84001922607422, -99.78456243826008, -99.72876681303862, -99.77265469575416, -99.93234818361117, 149.86711074080964, -99.67034161837582, -99.70487500327435, 149.5662010950937, -99.84003440788666, 149.84706113931736, 149.6312634262648, 149.5808317426897, -99.79184634538235, -99.69795641061609, 75.52001953125, 14.255996704101562, -99.90198995588872, 149.63516727171975, -99.73330976902844, -99.69319400371076, -99.64358751538528, -99.96515588840418, 149.3913430889317, 149.95055174107966, -99.72815377667685, -99.90707127972146, -99.94107499200223, 149.72404344317098, 149.71602582468708, 149.66508726470568, -99.87308353168963, -99.74337322672046, -99.74182115207165, 149.72258481918686, 149.54542185381334, 149.71770517626607, 33.11996841430664, -99.82102685319296, 149.97851085732668, -99.94300703417909, -99.5942415387596, -99.62793953797294, -99.77466308568657, 149.389802343379, -99.90401014648357, 149.64604965627834, -99.67009704792184, -99.92554207679923, 149.4922076292471, -99.99403098218954, -99.92145923162761, 48.34799909591675, 148.76896381378174]","[  -99.62094119  -199.56486307  -257.72877012  -357.56795801
  -457.34288303  -557.08028866  -537.76032712  -637.74598446
  -488.37534032  -588.05538624  -687.83385432  -787.53860372
  -887.08879095  -955.61881739 -1055.23862107  -905.69689336
 -1005.29152041 -1104.5465788  -1022.01455441 -1121.38028063
 -1074.80025973 -1174.74077036 -1208.59886553 -1308.5589204
 -1408.50601277 -1508.47277297 -1358.60540986 -1458.48543621
 -1308.6884347  -1158.89515574 -1258.81139334 -1358.46076511
 -1458.19641856 -1308.53399963 -1158.66667068 -1258.41671034
 -1108.52765402 -1208.18576868 -1307.89163531 -1158.30576527
 -1008.55341804 -1108.49781125 -1208.34681499 -1308.20068419
 -1158.22913365 -1245.72896676 -1289.56884103 -1314.73692613
 -1414.67188364 -1514.54605255 -1614.43212887 -1464.5298295
 -1314.81093736 -1165.28222697 -1264.81824664 -1364.17422293
 -1214.39572854 -1214.80374761 -1065.71436936 -1165.6651493
 -1265.28273246 -1115.47189884  -966.24969533 -1065.96049983
 -1165.64265435 -1016.39099325 -1115.83200103 -1215.69147971
 -1113.7394419  -1213.52836959 -1313.33522615 -1291.49520692
 -1391.27976936 -1491.00853617 -1590.78119087 -1690.71353905
 -1540.84642831 -1640.51676993 -1740.22164493 -1590.65544384
 -1690.49547825 -1540.64841711 -1391.01715368 -1241.43632194
 -1341.22816828 -1440.9261247  -1365.40610516 -1351.15010846
 -1451.05209842 -1301.41693114 -1401.15024091 -1500.84343492
 -1600.48702243 -1700.45217832 -1551.06083523 -1401.11028349
 -1500.83843727 -1600.74550855 -1700.68658354 -1550.9625401
 -1401.24651427 -1251.58142701 -1351.45451054 -1451.19788376
 -1550.93970492 -1401.2171201  -1251.67169824 -1101.95399307
 -1068.83402465 -1168.65505151 -1018.67654065 -1118.61954768
 -1218.21378922 -1317.84172876 -1417.61639185 -1268.2265895
 -1368.13059965 -1218.48454999 -1318.15464704 -1418.08018912
 -1268.58798149 -1368.58201247 -1468.5034717  -1420.15547261
 -1271.38650879]",-1271.3865087920237,-12.713865087920237,0.376,0.8282163515635895,-16.571089793597928,-1.4242227485642782,-0.5962442143140251
HBIO,7,Rule 7,"[('EMA_50', 1.381, '>'), ('VWAP_20', 15.089, '<='), ('SMA_10', 4.092, '>'), ('SMA_10', 9.943, '>')]",2.4120646001571644,8,"[-99.62958153228928, -99.41280391569245, 148.9555549081713, -99.89666194530405, -99.9801117213106, -99.35121784574079, -99.36239907689927, -83.1678991317749]","[ -99.62958153 -199.04238545  -50.08683054 -149.98349249 -249.96360421
 -349.31482205 -448.67722113 -531.84512026]",-531.8451202608401,-5.318451202608401,0.125,0.21879466390245944,-4.841834109665555,-12.097126697824974,-0.9022533034191212
HBIO,8,Rule 8,"[('EMA_50', 1.381, '>'), ('VWAP_20', 15.089, '>'), ('EMA_50', 18.098, '>'), ('SMA_10', 18.149, '<=')]",2.4120646001571644,1,[-99.38839614324216],[-99.38839614],-99.38839614324216,-0.9938839614324216,0.0,0.0,0.0,0.0,0.0
HBIO,9,Rule 9,"[('EMA_50', 1.381, '>'), ('VWAP_20', 15.089, '>'), ('EMA_50', 18.098, '>'), ('SMA_10', 18.149, '>')]",2.4120646001571644,147,"[-99.81714259499728, 39.64986038208008, 147.9218938949374, -99.27710232469943, 148.5656375584748, -99.91648991057333, -99.31335469576044, 149.8295947787396, -99.43451147575001, -98.54412485832984, 56.09992218017578, 113.40019226074219, -99.25454737126523, 148.5779229451812, -98.08521646550413, 27.599929809570312, 9.299858093261719, -99.21684101137296, 147.5917974845294, -99.19960900781052, -99.5778190882429, -98.3339968805023, -98.72039905899857, 147.34936964445154, 149.86084790153058, -99.99985567874509, 148.64872940405746, -98.72021558515144, 147.3022779623999, 147.59472101238225, 148.14650977375123, -98.59982766547554, -99.6380277701548, 149.63502462862482, 128.69997024536133, 68.79993438720703, -98.24082768327015, -99.44720944857991, -98.37798202091935, -99.19432120689042, -98.65245576747185, -99.72319036745553, -99.98315164556038, 147.35372995471147, -20.726829528808594, -98.20622547267608, 148.40230617712876, -98.31692958014251, -98.25468409929607, -99.23244015290587, 147.72149960034488, -99.87975263120057, -19.5, -98.07502400563882, 148.81224931996329, -99.76990829285404, -98.05987996021807, -99.41878903684781, -44.15595245361328, 149.07456244938618, -99.51634982874694, -99.17384464224972, -98.43890987614492, -98.31387088524829, -98.51295896382712, 147.75643701416118, -99.32552138574604, -99.56347831598333, -50.0, 149.5311525756254, -99.4899737610125, -99.43056632797628, -98.98847882479753, -18.16387939453125, -99.12572526742171, -99.038918490497, -99.2015126639887, 149.4453776320604, -99.45449181448498, -99.08385173247785, 149.69905736925216, -99.10043467660395, -99.16506991810844, 149.80651433927767, 149.04241606475665, 149.47809376095265, -99.29071564247899, 148.45473010236103, -99.42583943807492, -99.06860555266861, 149.51651837402915, -98.54185471452274, -99.40635845368661, -99.6655571283597, 149.44966644824854, -98.72253909647691, 61.199974060058594, -99.80165948181003, 149.1727975122732, 149.16158895326504, -99.28040724628127, -99.11698504814123, -99.21248346150243, -99.90330279683556, 25.900169372558594, 149.77351444240935, -99.01101666382056, -99.123322624949, -99.2081524113647, -99.7629351825156, 26.099933624267578, -99.12704905791097, -99.40202418309536, -99.40346206965758, -99.96226635934119, 149.31378202749923, -99.58289755967371, -99.87874269692566, -99.56117964815783, 149.36311776768326, -99.31940215569803, 149.75667662237763, -99.93994530285721, 148.9012409446791, 148.87221573174548, 149.2010219363956, -99.99520387142071, 149.00716603690105, -99.00501373815723, -99.53743505913346, -98.92599282206729, 149.77758491183778, 58.10006332397461, -99.47643138522677, -99.49395700215231, 148.88988166843848, -99.7260400088995, -99.26510337434462, 0.0, -99.41539587483528, 149.26239587046248, -99.37194266135384, -99.53788030985848, 27.000102996826172, -99.87533380069678, -99.34420921839859, -99.7965581911647]","[  -99.81714259   -60.16728221    87.75461168   -11.52249064
   137.04314692    37.12665701   -62.18669769    87.64289709
   -11.79161439  -110.33573925   -54.23581707    59.1643752
   -40.09017218   108.48775077    10.4025343     38.00246411
    47.30232221   -51.91451881    95.67727868    -3.52233033
  -103.10014942  -201.4341463   -300.15454536  -152.80517571
    -2.94432781  -102.94418349    45.70454592   -53.01566967
    94.28660829   241.8813293    390.02783908   291.42801141
   191.78998364   341.42500827   470.12497852   538.9249129
   440.68408522   341.23687577   242.85889375   143.66457254
    45.01211678   -54.71107359  -154.69422524    -7.34049528
   -28.06732481  -126.27355028    22.12875589   -76.18817369
  -174.44285779  -273.67529794  -125.95379834  -225.83355097
  -245.33355097  -343.40857497  -194.59632565  -294.36623395
  -392.42611391  -491.84490294  -536.0008554   -386.92629295
  -486.44264278  -585.61648742  -684.0553973   -782.36926818
  -880.88222714  -733.12579013  -832.45131152  -932.01478983
  -982.01478983  -832.48363726  -931.97361102 -1031.40417735
 -1130.39265617 -1148.55653557 -1247.68226083 -1346.72117932
 -1445.92269199 -1296.47731436 -1395.93180617 -1495.0156579
 -1345.31660053 -1444.41703521 -1543.58210513 -1393.77559079
 -1244.73317472 -1095.25508096 -1194.5457966  -1046.0910665
 -1145.51690594 -1244.58551149 -1095.06899312 -1193.61084783
 -1293.01720629 -1392.68276342 -1243.23309697 -1341.95563606
 -1280.755662   -1380.55732149 -1231.38452397 -1082.22293502
 -1181.50334227 -1280.62032731 -1379.83281078 -1479.73611357
 -1453.8359442  -1304.06242976 -1403.07344642 -1502.19676905
 -1601.40492146 -1701.16785664 -1675.06792302 -1774.19497207
 -1873.59699626 -1973.00045833 -2072.96272469 -1923.64894266
 -2023.23184022 -2123.11058292 -2222.67176256 -2073.3086448
 -2172.62804695 -2022.87137033 -2122.81131563 -1973.91007469
 -1825.03785896 -1675.83683702 -1775.83204089 -1626.82487485
 -1725.82988859 -1825.36732365 -1924.29331647 -1774.51573156
 -1716.41566824 -1815.89209962 -1915.38605662 -1766.49617496
 -1866.22221497 -1965.48731834 -1965.48731834 -2064.90271421
 -1915.64031834 -2015.01226101 -2114.55014132 -2087.55003832
 -2187.42537212 -2286.76958134 -2386.56613953]",-2386.5661395286743,-23.865661395286743,0.35374149659863946,0.734337096060874,-27.758913519259963,-2.335032805883223,-0.9443341351166817
HOTH,0,Rule 0,"[('EMA_50', 1.381, '<='), ('ATR_50', 0.044, '<='), ('EMA_20', 1.291, '<='), ('ATR_50', 0.032, '>')]",2.475857131449321,51,"[66.8312873840332, -99.97683239622283, -99.95040859224933, -11.276070237159729, 149.97600257161963, -99.96361214753067, -99.91292116533863, 149.8956906667242, -99.93114689902129, 69.30004405975342, 149.89700719421953, 149.91815400620922, 149.8947999451651, 18.509982347488403, 149.93804791809941, -99.93167636584408, -5.399808168411255, -32.353187084198, -99.98128551997965, 149.99453657852905, 149.92867976691943, -71.91504240036011, -99.96495861750347, -71.91796481609344, -99.94621218576111, 149.9871051935639, -99.93733891186558, -11.309989213943481, -99.96995507695468, 48.81040143966675, -99.95499017203846, -99.9403100763082, 149.9746158733604, -99.99398435045774, 87.96991610527039, -99.95775399995084, -6.182934045791626, 149.98417090013166, -11.594808101654053, 149.8681999572342, 87.78002643585205, 149.92703624366354, -99.94540807750352, 66.28446435928345, -35.59140622615814, 149.90377428562104, -6.269994020462036, -99.92811847936719, -99.9319156931592, 84.555410861969, -99.96462418851164]","[  66.83128738  -33.14554501 -133.0959536  -144.37202384    5.60397873
  -94.35963342 -194.27255458  -44.37686392 -144.30801082  -75.00796676
   74.88904044  224.80719445  374.70199439  393.21197674  543.15002466
  443.21834829  437.81854012  405.46535304  305.48406752  455.4786041
  605.40728386  533.49224146  433.52728284  361.60931803  261.66310584
  411.65021104  311.71287212  300.40288291  200.43292783  249.24332927
  149.2883391    49.34802903  199.3226449    99.32866055  187.29857665
   87.34082265   81.15788861  231.14205951  219.54725141  369.41545136
  457.1954778   607.12251404  507.17710597  573.46157032  537.8701641
  687.77393838  681.50394436  581.57582588  481.64391019  566.19932105
  466.23469686]",466.234696864577,4.66234696864577,0.43137254901960786,1.2155605199292152,-5.243167376359973,1.380659617199336,0.6354179379403968
HOTH,1,Rule 1,"[('EMA_50', 1.381, '<='), ('ATR_50', 0.044, '<='), ('EMA_20', 1.291, '>'), ('SMA_10', 1.281, '<=')]",2.475857131449321,4,"[149.93034281402836, -99.93896778559119, 80.17492353916168, 149.9545424571294]",[149.93034281  49.99137503 130.16629857 280.12084102],280.1208410247283,2.8012084102472827,0.75,3.8029190938383395,-0.9846271295481912,9.422006024345286,0.637069561464521
HOTH,2,Rule 2,"[('EMA_50', 1.381, '<='), ('ATR_50', 0.044, '>'), ('VWAP_20', 1.421, '<='), ('SMA_10', 0.998, '<=')]",2.475857131449321,9,"[149.95484580733464, -99.92638233512984, -99.89310783398263, -99.86210950418973, -36.53319442272186, -99.91657772474866, -99.95281529155497, -29.38002586364746, 149.92355271015794]","[ 149.95484581   50.02846347  -49.86464436 -149.72675387 -186.25994829
 -286.17652601 -386.1293413  -415.50936717 -265.58581446]",-265.5858144584826,-2.655858144584826,0.2222222222222222,0.5303225060685377,-5.571100774005448,-4.435490733540258,-0.9185501970050248
HOTH,3,Rule 3,"[('EMA_50', 1.381, '<='), ('ATR_50', 0.044, '>'), ('VWAP_20', 1.421, '>'), ('EMA_50', 1.274, '<=')]",2.475857131449321,10,"[-99.91065476328963, 149.94691357134667, -99.88716582975712, 149.91747173387782, -99.89348127526294, 149.73608816694824, -99.93719817779434, -99.9287501047876, -99.94560106702704, 75.80864262580872]","[ -99.91065476   50.03625881  -49.85090702  100.06656471    0.17308344
  149.9091716    49.97197343  -49.95677668 -149.90237775  -74.09373512]",-74.09373511993721,-0.740937351199372,0.4,0.8764080354757072,-2.953834800693436,-0.9694598430602946,-0.22756497448521276
HOTH,4,Rule 4,"[('EMA_50', 1.381, '>'), ('VWAP_20', 15.089, '<='), ('SMA_10', 4.092, '<='), ('ATR_50', 0.14, '<=')]",2.475857131449321,42,"[-99.9020754303714, -71.10993218421936, 41.21996068954468, 149.89032606975138, 149.94242066792373, 149.7735294228244, 149.8322928024938, -99.8044842987409, -99.77767359486755, -99.76469603814554, -26.60898447036743, -99.90943410779978, -99.93419289161872, 149.9272069556297, 149.9270460719977, -99.92473216668047, -41.3999605178833, -99.92651539837816, -99.94444271668263, 149.80652188324734, -99.94242498624465, -99.95281012356307, -32.94003403186798, -99.929694513253, -99.87580735679535, -54.482380986213684, 149.87491262976937, -99.87980920653928, 149.96290563457936, -99.93853690906074, 149.8625358794091, -99.96305439989773, -99.96429987119339, -99.90893724861533, -99.97697921913894, 149.91091311826685, -99.94887749716725, -99.98961220568115, -99.89254011044291, 149.89171096172237, -99.96935878926551, -99.98385299666504]","[ -99.90207543 -171.01200761 -129.79204693   20.09827914  170.04069981
  319.81422924  469.64652204  369.84203774  270.06436414  170.29966811
  143.69068364   43.78124953  -56.15294336   93.77426359  243.70130966
  143.7765775   102.37661698    2.45010158  -97.49434114   52.31218075
  -47.63024424 -147.58305436 -180.52308839 -280.45278291 -380.32859026
 -434.81097125 -284.93605862 -384.81586783 -234.85296219 -334.7914991
 -184.92896322 -284.89201762 -384.85631749 -484.76525474 -584.74223396
 -434.83132084 -534.78019834 -634.76981055 -734.66235066 -584.77063969
 -684.73999848 -784.72385148]",-784.7238514802004,-7.8472385148020045,0.30952380952380953,0.701005883937622,-11.98101932933244,-2.6652267201372175,-0.8506202767235012
HOTH,5,Rule 5,"[('EMA_50', 1.381, '>'), ('VWAP_20', 15.089, '<='), ('SMA_10', 4.092, '<='), ('ATR_50', 0.14, '>')]",2.475857131449321,3,"[-64.97680509090424, -76.73759365081787, -57.47902297973633]",[ -64.97680509 -141.71439874 -199.19342172],-199.19342172145844,-1.9919342172145842,0.0,0.0,-1.3509441699072173,-108.57803179935759,-0.9965860602164686
